id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-218553327,way,,35.6358738,139.8811038,forest,,,OpenStreetMap
way-218553334,way,,35.6358191,139.8810676,forest,,,OpenStreetMap
way-218553649,way,,35.6330503,139.881322,forest,,,OpenStreetMap
way-218878588,way,,35.6352934,139.7269573,forest,,,OpenStreetMap
way-218960134,way,,35.6505145,139.7194445,forest,,,OpenStreetMap
way-218960135,way,,35.6504565,139.7189106,forest,,,OpenStreetMap
way-218979562,way,,35.6306202,139.8802761,forest,,,OpenStreetMap
way-218979566,way,,35.6335511,139.8815803,forest,,,OpenStreetMap
way-219380945,way,,35.8495063,139.9151518,,wood,,OpenStreetMap
way-219380957,way,,35.8465181,139.9115543,,wood,,OpenStreetMap
way-219380962,way,,35.849339,139.9122474,,wood,,OpenStreetMap
way-219476462,way,,35.7538599,139.8219642,forest,,,OpenStreetMap
way-220319414,way,,35.6502893,139.7254674,forest,,,OpenStreetMap
way-220319416,way,,35.6477133,139.7267232,forest,,,OpenStreetMap
way-220323266,way,,35.6484758,139.7319753,forest,,,OpenStreetMap
way-220323267,way,,35.6482971,139.7323752,forest,,,OpenStreetMap
way-220323268,way,,35.6484644,139.7292523,forest,,,OpenStreetMap
way-220323269,way,,35.648684,139.7324104,forest,,,OpenStreetMap
way-220323270,way,,35.648523,139.7316525,forest,,,OpenStreetMap
way-220323271,way,,35.6483972,139.7311194,forest,,,OpenStreetMap
way-220686793,way,,35.6503466,139.742179,forest,,,OpenStreetMap
way-220845017,way,,35.6557442,139.7271224,forest,,,OpenStreetMap
way-220845020,way,,35.6561954,139.7270702,forest,,,OpenStreetMap
way-220872433,way,,35.6420792,139.7158743,forest,,,OpenStreetMap
way-221454499,way,,35.6412384,139.7386801,forest,,,OpenStreetMap
way-221454500,way,,35.6414774,139.738418,forest,,,OpenStreetMap
way-222615187,way,,35.6269254,139.8815292,forest,,,OpenStreetMap
way-222734177,way,,35.6277591,139.8814063,forest,,,OpenStreetMap
way-222734182,way,,35.6263881,139.881479,forest,,,OpenStreetMap
way-224468780,way,,35.7116989,139.7620779,forest,,broadleaved,OpenStreetMap
way-224470207,way,,35.7095104,139.7673441,forest,,,OpenStreetMap
way-224470282,way,,35.7115943,139.7628024,forest,,broadleaved,OpenStreetMap
way-224470286,way,,35.7120598,139.7623057,forest,,,OpenStreetMap
way-224470289,way,,35.7121468,139.7618485,forest,,,OpenStreetMap
way-224470291,way,,35.7121972,139.7619909,forest,,,OpenStreetMap
way-224470293,way,,35.7125762,139.7618897,forest,,,OpenStreetMap
way-224470295,way,,35.7125312,139.7622786,forest,,,OpenStreetMap
way-224470297,way,,35.7120386,139.7625274,forest,,,OpenStreetMap
way-224470298,way,,35.7124892,139.7627748,forest,,,OpenStreetMap
way-224473444,way,,35.7094419,139.7662907,forest,,broadleaved,OpenStreetMap
way-224473447,way,,35.7100261,139.7666338,forest,,,OpenStreetMap
way-224474456,way,,35.7131809,139.7624957,forest,,mixed,OpenStreetMap
way-224476174,way,,35.7094828,139.7660092,forest,,broadleaved,OpenStreetMap
way-224476179,way,,35.7091472,139.7659967,forest,,broadleaved,OpenStreetMap
way-224477469,way,,35.7138072,139.7598788,forest,,,OpenStreetMap
way-224477602,way,,35.7135901,139.7599532,forest,,,OpenStreetMap
way-224478468,way,,35.7137191,139.7604695,forest,,broadleaved,OpenStreetMap
way-224478509,way,,35.7138634,139.76064,forest,,broadleaved,OpenStreetMap
way-224478545,way,,35.7138732,139.7607592,forest,,broadleaved,OpenStreetMap
way-224478742,way,,35.714251,139.7606579,forest,,broadleaved,OpenStreetMap
way-224478743,way,,35.7145429,139.7608189,forest,,,OpenStreetMap
way-224478744,way,,35.714569,139.7609799,forest,,,OpenStreetMap
way-224478745,way,,35.7144568,139.7608772,forest,,broadleaved,OpenStreetMap
way-224478842,way,,35.7146098,139.761185,forest,,,OpenStreetMap
way-224479273,way,,35.7149606,139.7627895,forest,,broadleaved,OpenStreetMap
way-224479274,way,,35.7149109,139.7626387,forest,,broadleaved,OpenStreetMap
way-224479344,way,,35.7147249,139.7623191,forest,,,OpenStreetMap
way-224479676,way,,35.7120118,139.7629115,forest,,,OpenStreetMap
way-224479826,way,,35.7130974,139.7595961,forest,,broadleaved,OpenStreetMap
way-224479827,way,,35.7133161,139.7594718,forest,,broadleaved,OpenStreetMap
way-224480393,way,,35.7144227,139.7612168,forest,,broadleaved,OpenStreetMap
way-224480394,way,,35.7140188,139.761409,forest,,,OpenStreetMap
way-224480395,way,,35.7137875,139.761078,forest,,broadleaved,OpenStreetMap
way-224480590,way,,35.7137592,139.7623574,forest,,mixed,OpenStreetMap
way-224480705,way,,35.7146792,139.7627646,forest,,,OpenStreetMap
way-224480706,way,,35.7143259,139.7629918,forest,,,OpenStreetMap
way-224481091,way,,35.7140288,139.7645903,forest,,,OpenStreetMap
way-224481092,way,,35.7139081,139.7642564,forest,,,OpenStreetMap
way-224481338,way,,35.7140404,139.763933,forest,,,OpenStreetMap
way-224481344,way,,35.7144773,139.7637203,forest,,broadleaved,OpenStreetMap
way-226193777,way,,35.646431,139.7009499,forest,,,OpenStreetMap
way-226338980,way,,35.6493587,139.7041095,forest,,,OpenStreetMap
way-226960451,way,,35.8317175,139.9504955,forest,,,OpenStreetMap
way-226960453,way,,35.8306232,139.9499531,forest,,,OpenStreetMap
way-227754669,way,,35.6329551,139.8817046,forest,,,OpenStreetMap
way-228038855,way,,35.6480655,139.7002112,,wood,,OpenStreetMap
way-229076824,way,,35.6828406,139.7090002,forest,,mixed,OpenStreetMap
way-229076825,way,,35.6833943,139.7086832,forest,,mixed,OpenStreetMap
way-229076826,way,,35.6831837,139.7098418,forest,,,OpenStreetMap
way-229076827,way,,35.6838794,139.709453,forest,,,OpenStreetMap
way-229276931,way,,35.6481967,139.6999279,,wood,,OpenStreetMap
way-231558212,way,,35.7240373,139.9311695,forest,,,OpenStreetMap
way-231807265,way,,35.6024572,139.7233653,,wood,,OpenStreetMap
way-231807268,way,,35.6025815,139.7233311,,wood,,OpenStreetMap
way-232012901,way,,35.6000129,139.7519487,,wood,,OpenStreetMap
way-232038288,way,,35.6053323,139.7527287,,wood,,OpenStreetMap
way-233815218,way,,35.6654275,139.7249484,forest,,,OpenStreetMap
way-238521661,way,,35.7146683,139.9496535,,wood,,OpenStreetMap
way-246408262,way,,35.6551602,139.9106295,forest,,,OpenStreetMap
way-246408265,way,,35.654035,139.9109386,forest,,,OpenStreetMap
way-246408267,way,,35.6555934,139.9107485,forest,,,OpenStreetMap
way-246408269,way,,35.6558278,139.9120729,forest,,,OpenStreetMap
way-246408270,way,,35.6537285,139.9089414,forest,,,OpenStreetMap
way-246410866,way,,35.6535061,139.9102952,forest,,,OpenStreetMap
